"category","question_text","correct_option","wrong_option_1","wrong_option_2","explanation"
"M1","Which teaching method focuses primarily on meaningful communication rather than grammar rules?","Communicative Language Teaching (CLT)","Grammar-Translation","Audio-lingual Method","ဆက်သွယ်ပြောဆိုမှု (meaningful communication) ကို အဓိကထားပြီး သဒ္ဒါစည်းမျဉ်းတွေထက် လက်တွေ့သုံးနိုင်ဖို့ ဦးစားပေးတဲ့ သင်ကြားနည်းကို CLT လို့ခေါ်ပါတယ်။"
"M1","Another way to test this concept: Identify the teaching method focuses primarily on meaningful communication rather than grammar rules?","Communicative Language Teaching (CLT)","Grammar-Translation","Audio-lingual Method","ဆက်သွယ်ပြောဆိုမှု (meaningful communication) ကို အဓိကထားပြီး သဒ္ဒါစည်းမျဉ်းတွေထက် လက်တွေ့သုံးနိုင်ဖို့ ဦးစားပေးတဲ့ သင်ကြားနည်းကို CLT လို့ခေါ်ပါတယ်။"
"M1","In CLT, the main goal for the learners is to:","Communicate their ideas effectively.","Translate texts accurately.","Repeat sentences perfectly.","ဆက်သွယ်ပြောဆိုမှု (meaningful communication) ကို အဓိကထားပြီး သဒ္ဒါစည်းမျဉ်းတွေထက် လက်တွေ့သုံးနိုင်ဖို့ ဦးစားပေးတဲ့ သင်ကြားနည်းကို CLT လို့ခေါ်ပါတယ်။"
"M1","Which methodology prioritizes fluency and real-life interaction over grammatical perfection?","Communicate their ideas effectively.","Translate texts accurately.","Repeat sentences perfectly.","ဆက်သွယ်ပြောဆိုမှု (meaningful communication) ကို အဓိကထားပြီး သဒ္ဒါစည်းမျဉ်းတွေထက် လက်တွေ့သုံးနိုင်ဖို့ ဦးစားပေးတဲ့ သင်ကြားနည်းကို CLT လို့ခေါ်ပါတယ်။"
"M1","Which activity is most typical in a Communicative Language Teaching (CLT) classroom?","Information gap speaking tasks.","Copying grammar rules from the board.","Translating a paragraph into L1.","ဆက်သွယ်ပြောဆိုမှု (meaningful communication) ကို အဓိကထားပြီး သဒ္ဒါစည်းမျဉ်းတွေထက် လက်တွေ့သုံးနိုင်ဖို့ ဦးစားပေးတဲ့ သင်ကြားနည်းကို CLT လို့ခေါ်ပါတယ်။"
"M1","Which methodology prioritizes fluency and real-life interaction over grammatical perfection?","Information gap speaking tasks.","Copying grammar rules from the board.","Translating a paragraph into L1.","ဆက်သွယ်ပြောဆိုမှု (meaningful communication) ကို အဓိကထားပြီး သဒ္ဒါစည်းမျဉ်းတွေထက် လက်တွေ့သုံးနိုင်ဖို့ ဦးစားပေးတဲ့ သင်ကြားနည်းကို CLT လို့ခေါ်ပါတယ်။"
"M1","What role does the teacher primarily play in CLT?","A facilitator and guide.","A strict controller of the language.","The only source of information.","ဆက်သွယ်ပြောဆိုမှု (meaningful communication) ကို အဓိကထားပြီး သဒ္ဒါစည်းမျဉ်းတွေထက် လက်တွေ့သုံးနိုင်ဖို့ ဦးစားပေးတဲ့ သင်ကြားနည်းကို CLT လို့ခေါ်ပါတယ်။"
"M1","Which methodology prioritizes fluency and real-life interaction over grammatical perfection?","A facilitator and guide.","A strict controller of the language.","The only source of information.","ဆက်သွယ်ပြောဆိုမှု (meaningful communication) ကို အဓိကထားပြီး သဒ္ဒါစည်းမျဉ်းတွေထက် လက်တွေ့သုံးနိုင်ဖို့ ဦးစားပေးတဲ့ သင်ကြားနည်းကို CLT လို့ခေါ်ပါတယ်။"
"M1","In CLT, mistakes made by students are usually seen as:","A natural part of the learning process.","Something that must be corrected immediately.","A sign of failure.","ဆက်သွယ်ပြောဆိုမှု (meaningful communication) ကို အဓိကထားပြီး သဒ္ဒါစည်းမျဉ်းတွေထက် လက်တွေ့သုံးနိုင်ဖို့ ဦးစားပေးတဲ့ သင်ကြားနည်းကို CLT လို့ခေါ်ပါတယ်။"
"M1","Which methodology prioritizes fluency and real-life interaction over grammatical perfection?","A natural part of the learning process.","Something that must be corrected immediately.","A sign of failure.","ဆက်သွယ်ပြောဆိုမှု (meaningful communication) ကို အဓိကထားပြီး သဒ္ဒါစည်းမျဉ်းတွေထက် လက်တွေ့သုံးနိုင်ဖို့ ဦးစားပေးတဲ့ သင်ကြားနည်းကို CLT လို့ခေါ်ပါတယ်။"
