"category","question_text","correct_option","wrong_option_1","wrong_option_2","explanation"
"M2","A dictionary that explains English words using only English is a:","Monolingual dictionary","Bilingual dictionary","Thesaurus","အင်္ဂလိပ်စကားလုံးတွေကို အင်္ဂလိပ်လိုပဲ အဓိပ္ပာယ်ပြန်လည်ရှင်းပြထားတဲ့ အဘိဓာန်ကို Monolingual dictionary လို့ခေါ်ပါတယ်။"
"M2","If a student wants to read a definition in English rather than a translation, they should use a:","Monolingual dictionary","Bilingual dictionary","Thesaurus","အင်္ဂလိပ်စကားလုံးတွေကို အင်္ဂလိပ်လိုပဲ အဓိပ္ပာယ်ပြန်လည်ရှင်းပြထားတဲ့ အဘိဓာန်ကို Monolingual dictionary လို့ခေါ်ပါတယ်။"
"M2","Why might an advanced learner prefer a monolingual dictionary?","Because it immerses them in English definitions and synonyms.","Because it translates to their L1.","Because it has pictures only.","အင်္ဂလိပ်စကားလုံးတွေကို အင်္ဂလိပ်လိုပဲ အဓိပ္ပာယ်ပြန်လည်ရှင်းပြထားတဲ့ အဘိဓာန်ကို Monolingual dictionary လို့ခေါ်ပါတယ်။"
"M2","A dictionary that translates words from English into the learner's mother tongue is a:","Bilingual dictionary","Monolingual dictionary","Corpus","ကျောင်းသားရဲ့ မိခင်ဘာသာစကား (ဥပမာ - မြန်မာ) လို တိုက်ရိုက်ဘာသာပြန်ပေးတဲ့ အဘိဓာန်ကို Bilingual dictionary လို့ခေါ်ပါတယ်။"
"M2","A dictionary that directly matches an English word to a word in the student's mother tongue is a:","Bilingual dictionary","Monolingual dictionary","Corpus","ကျောင်းသားရဲ့ မိခင်ဘာသာစကား (ဥပမာ - မြန်မာ) လို တိုက်ရိုက်ဘာသာပြန်ပေးတဲ့ အဘိဓာန်ကို Bilingual dictionary လို့ခေါ်ပါတယ်။"
"M2","Identify the resource: A dictionary that translates words from English into the learner's mother tongue is a:","Bilingual dictionary","Monolingual dictionary","Corpus","ကျောင်းသားရဲ့ မိခင်ဘာသာစကား (ဥပမာ - မြန်မာ) လို တိုက်ရိုက်ဘာသာပြန်ပေးတဲ့ အဘိဓာန်ကို Bilingual dictionary လို့ခေါ်ပါတယ်။"
"M2","A book that lists words in groups of synonyms and antonyms rather than alphabetically is a:","Thesaurus","Corpus","Learner dictionary","အဓိပ္ပာယ်တူ၊ ဆန့်ကျင်ဘက် စကားလုံးတွေကို အုပ်စုလိုက် စုစည်းပေးထားတဲ့ စာအုပ်ကို Thesaurus လို့ခေါ်ပါတယ်။ (ဝေါဟာရကြွယ်ဝဖို့ သုံးပါတယ်)"
"M2","To find five different words that mean 'happy', a student should look in a:","Thesaurus","Corpus","Learner dictionary","အဓိပ္ပာယ်တူ၊ ဆန့်ကျင်ဘက် စကားလုံးတွေကို အုပ်စုလိုက် စုစည်းပေးထားတဲ့ စာအုပ်ကို Thesaurus လို့ခေါ်ပါတယ်။ (ဝေါဟာရကြွယ်ဝဖို့ သုံးပါတယ်)"
"M2","Identify the resource: A book that lists words in groups of synonyms and antonyms rather than alphabetically is a:","Thesaurus","Corpus","Learner dictionary","အဓိပ္ပာယ်တူ၊ ဆန့်ကျင်ဘက် စကားလုံးတွေကို အုပ်စုလိုက် စုစည်းပေးထားတဲ့ စာအုပ်ကို Thesaurus လို့ခေါ်ပါတယ်။ (ဝေါဟာရကြွယ်ဝဖို့ သုံးပါတယ်)"
"M2","A database of real-life language showing how words are actually used in context is a:","Corpus / Concordancer","Thesaurus","Grammar book","လူတွေတကယ်သုံးနေတဲ့ စာသား/စကားပြောတွေကို ကွန်ပျူတာနဲ့ စုဆောင်းထားပြီး ဘယ်စကားလုံးတွေ တွဲသုံးလေ့ရှိလဲ (Collocation) ကို ရှာကြည့်နိုင်တဲ့ စနစ်ကို Corpus လို့ခေါ်ပါတယ်။"
"M2","A teacher wants to see exactly how frequently native speakers use the phrase 'make a mistake'. They should check a:","Corpus / Concordancer","Thesaurus","Grammar book","လူတွေတကယ်သုံးနေတဲ့ စာသား/စကားပြောတွေကို ကွန်ပျူတာနဲ့ စုဆောင်းထားပြီး ဘယ်စကားလုံးတွေ တွဲသုံးလေ့ရှိလဲ (Collocation) ကို ရှာကြည့်နိုင်တဲ့ စနစ်ကို Corpus လို့ခေါ်ပါတယ်။"
"M2","Identify the resource: A database of real-life language showing how words are actually used in context is a:","Corpus / Concordancer","Thesaurus","Grammar book","လူတွေတကယ်သုံးနေတဲ့ စာသား/စကားပြောတွေကို ကွန်ပျူတာနဲ့ စုဆောင်းထားပြီး ဘယ်စကားလုံးတွေ တွဲသုံးလေ့ရှိလဲ (Collocation) ကို ရှာကြည့်နိုင်တဲ့ စနစ်ကို Corpus လို့ခေါ်ပါတယ်။"
"M2","Where can a teacher find the written text of the audio tracks used in the coursebook?","In the tapescripts (usually in the Teacher's Book)","In the workbook","In a dictionary","နားထောင်ရတဲ့ အသံဖိုင် (Audio) ထဲက စကားပြောတွေကို စာသားအနေနဲ့ အတိအကျ ပြန်ရေးထားတာကို Tapescripts လို့ခေါ်ပါတယ်။"
"M2","Which resource provides the teacher with the answer key and suggested warmers for the coursebook unit?","In the tapescripts (usually in the Teacher's Book)","In the workbook","In a dictionary","နားထောင်ရတဲ့ အသံဖိုင် (Audio) ထဲက စကားပြောတွေကို စာသားအနေနဲ့ အတိအကျ ပြန်ရေးထားတာကို Tapescripts လို့ခေါ်ပါတယ်။"
"M2","Which concept is this? Where can a teacher find the written text of the audio tracks used in the coursebook?","In the tapescripts (usually in the Teacher's Book)","In the workbook","In a dictionary","နားထောင်ရတဲ့ အသံဖိုင် (Audio) ထဲက စကားပြောတွေကို စာသားအနေနဲ့ အတိအကျ ပြန်ရေးထားတာကို Tapescripts လို့ခေါ်ပါတယ်။"
"M2","A resource specifically designed to give teachers answers, methodology tips, and extra activities is the:","Teacher's Book","Coursebook","Supplementary workbook","ဆရာတွေအတွက် အဖြေမှန်တွေ၊ သင်ကြားနည်း အကြံပြုချက်တွေနဲ့ အပိုလေ့ကျင့်ခန်းတွေ ပါဝင်တဲ့ စာအုပ်က Teacher's Book ဖြစ်ပါတယ်။"
