"category","question_text","correct_option","wrong_option_1","wrong_option_2","explanation"
"M2","The most important thing a teacher wants the learners to achieve by the end of the lesson is the:","Main aim","Subsidiary aim","Personal aim","သင်ခန်းစာတစ်ခုရဲ့ အဆုံးမှာ ကျောင်းသားတွေကို အဓိက တတ်မြောက်စေချင်တဲ့ ရည်ရွယ်ချက်ကို Main aim လို့ ခေါ်ပါတယ်။"
"M2","If a teacher describes the primary goal they want learners to reach, they are stating the:","Main aim","Subsidiary aim","Personal aim","သင်ခန်းစာတစ်ခုရဲ့ အဆုံးမှာ ကျောင်းသားတွေကို အဓိက တတ်မြောက်စေချင်တဲ့ ရည်ရွယ်ချက်ကို Main aim လို့ ခေါ်ပါတယ်။"
"M2","The ultimate goal for student achievement in a single lesson block is the:","Main aim","Subsidiary aim","Personal aim","သင်ခန်းစာတစ်ခုရဲ့ အဆုံးမှာ ကျောင်းသားတွေကို အဓိက တတ်မြောက်စေချင်တဲ့ ရည်ရွယ်ချက်ကို Main aim လို့ ခေါ်ပါတယ်။"
"M2","An aim that focuses on a secondary skill or language area that supports the main objective is the:","Subsidiary aim","Main aim","Personal aim","အဓိကရည်ရွယ်ချက် (Main aim) ကို အထောက်အကူပြုဖို့ ထည့်သွင်းသင်ကြားတဲ့ ဒုတိယဦးစားပေး ရည်ရွယ်ချက်ကို Subsidiary aim လို့ ခေါ်ပါတယ်။"
"M2","The secondary goal that naturally helps achieve the primary lesson goal is known as the:","Subsidiary aim","Main aim","Personal aim","အဓိကရည်ရွယ်ချက် (Main aim) ကို အထောက်အကူပြုဖို့ ထည့်သွင်းသင်ကြားတဲ့ ဒုတိယဦးစားပေး ရည်ရွယ်ချက်ကို Subsidiary aim လို့ ခေါ်ပါတယ်။"
"M2","Another perspective: An aim that focuses on a secondary skill or language area that supports the main objective is the:","Subsidiary aim","Main aim","Personal aim","အဓိကရည်ရွယ်ချက် (Main aim) ကို အထောက်အကူပြုဖို့ ထည့်သွင်းသင်ကြားတဲ့ ဒုတိယဦးစားပေး ရည်ရွယ်ချက်ကို Subsidiary aim လို့ ခေါ်ပါတယ်။"
"M2","A teacher wanting to improve their own board work during the lesson is an example of a:","Personal aim","Main aim","Subsidiary aim","ဆရာကိုယ်တိုင်ရဲ့ သင်ကြားမှုစွမ်းရည် (ဥပမာ - စာသင်သင်ပုန်းအသုံးပြုမှု တိုးတက်စေရန်) ကို ရည်ရွယ်တာကို Personal aim လို့ ခေါ်ပါတယ်။"
"M2","When a teacher sets a goal to improve their own instructional techniques, it is called a:","Personal aim","Main aim","Subsidiary aim","ဆရာကိုယ်တိုင်ရဲ့ သင်ကြားမှုစွမ်းရည် (ဥပမာ - စာသင်သင်ပုန်းအသုံးပြုမှု တိုးတက်စေရန်) ကို ရည်ရွယ်တာကို Personal aim လို့ ခေါ်ပါတယ်။"
"M2","A goal aimed entirely at the teacher's professional development during the lesson is the:","Personal aim","Main aim","Subsidiary aim","ဆရာကိုယ်တိုင်ရဲ့ သင်ကြားမှုစွမ်းရည် (ဥပမာ - စာသင်သင်ပုန်းအသုံးပြုမှု တိုးတက်စေရန်) ကို ရည်ရွယ်တာကို Personal aim လို့ ခေါ်ပါတယ်။"
"M2","Why is it important to share the main aim with the learners?","To give them a clear focus and sense of purpose.","To make the lesson longer.","To test their vocabulary.","သင်ခန်းစာရဲ့ ရည်ရွယ်ချက်ကို ကျောင်းသားတွေကို ကြိုပြောပြခြင်းက သူတို့ကို ဘာလုပ်ရမယ်ဆိုတာ ရှင်းလင်းစွာ သိစေပါတယ်။"
