"category","question_text","correct_option","wrong_option_1","wrong_option_2","explanation"
"M3","When two students demonstrate a dialogue in front of the entire class while everyone listens, this interaction pattern is called:","Open pairs","Closed pairs","Mingling","တစ်တန်းလုံးရဲ့ အရှေ့မှာ ကျောင်းသားနှစ်ယောက်က နမူနာ စကားပြောပြတာကို Open pairs (အပွင့်ပုံစံ အလုပ်လုပ်ခြင်း) လို့ ခေါ်ပါတယ်။"
"M3","When all students in the class are talking to their respective partners simultaneously, this is called:","Closed pairs","Open pairs","Teacher-to-class","ကျောင်းသားအားလုံး မိမိတွဲဖက်နဲ့ မိမိ တစ်ချိန်တည်း ပြိုင်တူ စကားပြောနေကြတာကို Closed pairs (အပိတ်ပုံစံ အလုပ်လုပ်ခြင်း) လို့ ခေါ်ပါတယ်။"
"M3","What is a major benefit of using closed pairs instead of open pairs?","It increases Student Talking Time and reduces stage fright.","It allows the teacher to listen to every word clearly.","It reduces classroom noise completely.","Closed pairs သုံးခြင်းဖြင့် တစ်တန်းလုံး တစ်ပြိုင်နက် စကားပြောခွင့်ရပြီး အများရှေ့မှာ ပြောရမှာ ကြောက်တဲ့ စိတ်ဖိစီးမှုကို လျှော့ချပေးပါတယ်။"
"M3","Which interaction pattern allows learners to work at their own pace and process information independently?","Individual work","Group work","Open pairs","ကျောင်းသားတစ်ယောက်ချင်းစီ မိမိအရှိန်နဲ့မိမိ လွတ်လပ်စွာ စဉ်းစားတွေးခေါ်ခွင့် ရရှိစေတဲ့ စာသင်ပုံစံကို Individual work လို့ ခေါ်ပါတယ်။"
"M3","Before asking students to discuss a complex topic in pairs, the teacher gives them 2 minutes to write down their thoughts. This utilizes:","Individual work before pair work","Choral drilling","Open pair demonstration","Pair work မစမီ Individual work အဖြစ် ခဏစဉ်းစားချိန် ပေးလိုက်ခြင်းက ကျောင်းသားတွေကို ပိုမို အဓိပ္ပာယ်ရှိတဲ့ အကြံဉာဏ်တွေ ထွက်ပေါ်လာစေပါတယ်။"
"M3","Individual work is particularly effective for which type of task?","Reading comprehension and quiet planning","Developing spoken fluency","Drilling pronunciation","စာဖတ်နားလည်နိုင်စွမ်း စစ်ဆေးခြင်းနဲ့ ရေးသားဖို့ ပြင်ဆင်တဲ့ အဆင့်တွေမှာ Individual work က အထိရောက်ဆုံး ဖြစ်ပါတယ်။"
"M3","When the entire class repeats a word or sentence together after the teacher, this practice is called:","Choral drilling","Individual drilling","Eliciting","ဆရာ့နောက်ကနေ တစ်တန်းလုံး ညီတူညီမျှ အသံထွက် လိုက်ဆိုလေ့ကျင့်တာကို Choral drilling လို့ ခေါ်ပါတယ်။"
"M3","What is the primary advantage of choral drilling in early language learning?","It builds confidence and allows shy students to practice without being spotlighted.","It checks individual grammar accuracy.","It eliminates the need for feedback.","Choral drilling ဟာ ရှက်တတ်တဲ့ ကျောင်းသားတွေကို ဘေးကင်းစွာ လေ့ကျင့်ခွင့်ပေးပြီး အသံထွက်ဆိုမှုဆိုင်ရာ ယုံကြည်မှုကို မြှင့်တင်ပေးပါတယ်။"
"M3","Choral drilling should usually be followed by:","Individual drilling","Written exams","Silent reading","တစ်တန်းလုံး စုပေါင်းရွတ်ဆိုပြီး (Choral drill) နောက်မှာ တစ်ယောက်ချင်းစီ အသံထွက် မှန်မမှန် စစ်ဆေးဖို့ Individual drill ကို ဆက်လက် လုပ်ဆောင်သင့်ပါတယ်။"
"M3","After a choral drill, the teacher nominates single students one by one to repeat the target phrase. This is:","Individual drilling","Choral drilling","Peer correction","တစ်တန်းလုံး ရွတ်ဆိုပြီးနောက် တစ်ယောက်ချင်းစီကို နာမည်ခေါ်ပြီး အသံထွက် ခိုင်းတာကို Individual drilling လို့ ခေါ်ပါတယ်။"
