category,question_text,correct_option,wrong_option_1,wrong_option_2,explanation
"M1","Which learner is intrinsically motivated?","A student who studies English because they enjoy the language.","A student studying to get a better salary.","A student who wants to pass an exam.","သင်ယူလိုစိတ် (Motivation) မှာ ကိုယ်တိုင်ဝါသနာပါလို့ သင်တာ (Intrinsic) နဲ့ ပြင်ပဆုလာဘ်/အလုပ်အကိုင်အတွက် သင်တာ (Extrinsic) ဆိုပြီး ကွဲပြားပါတယ်။"
"M1","Learning English to get a promotion at work is an example of:","Extrinsic motivation","Intrinsic motivation","Learner autonomy","သင်ယူလိုစိတ် (Motivation) မှာ ကိုယ်တိုင်ဝါသနာပါလို့ သင်တာ (Intrinsic) နဲ့ ပြင်ပဆုလာဘ်/အလုပ်အကိုင်အတွက် သင်တာ (Extrinsic) ဆိုပြီး ကွဲပြားပါတယ်။"
"M1","How can a teacher best sustain learner motivation?","By providing engaging and relevant tasks.","By giving them harder tests every week.","By ignoring their mistakes.","သင်ယူလိုစိတ် (Motivation) မှာ ကိုယ်တိုင်ဝါသနာပါလို့ သင်တာ (Intrinsic) နဲ့ ပြင်ပဆုလာဘ်/အလုပ်အကိုင်အတွက် သင်တာ (Extrinsic) ဆိုပြီး ကွဲပြားပါတယ်။"
"M1","A learner who understands best by looking at charts and pictures has a:","Visual learning style","Auditory learning style","Kinesthetic learning style","သင်ယူသူတွေရဲ့ အာရုံခံယူမှုစတိုင် (Learning Styles) တွေဖြစ်တဲ့ အမြင် (Visual)၊ အကြား (Auditory) နဲ့ လှုပ်ရှားမှု (Kinesthetic) တို့ကို ခွဲခြားသိမြင်ပါ။"
"M1","Which activity is best for an auditory learner?","Listening to a podcast or recording.","Drawing a mind map.","Moving around the classroom.","သင်ယူသူတွေရဲ့ အာရုံခံယူမှုစတိုင် (Learning Styles) တွေဖြစ်တဲ့ အမြင် (Visual)၊ အကြား (Auditory) နဲ့ လှုပ်ရှားမှု (Kinesthetic) တို့ကို ခွဲခြားသိမြင်ပါ။"
"M1","A kinesthetic learner learns best through:","Physical movement and touching things.","Reading quietly.","Listening to the teacher talk.","သင်ယူသူတွေရဲ့ အာရုံခံယူမှုစတိုင် (Learning Styles) တွေဖြစ်တဲ့ အမြင် (Visual)၊ အကြား (Auditory) နဲ့ လှုပ်ရှားမှု (Kinesthetic) တို့ကို ခွဲခြားသိမြင်ပါ။"
"M1","Young learners (children) generally learn best through:","Play and physical activity.","Explicit grammar rules.","Long reading texts.","အသက်အရွယ်အလိုက် သင်ယူသူတွေရဲ့ လိုအပ်ချက်ကွာပါတယ်။ ကလေးတွေက ကစားရင်းသင်ရတာကြိုက်ပြီး၊ လူကြီးတွေက အတွေ့အကြုံနဲ့ နှိုင်းယှဉ်စဉ်းစားတတ်ကြပါတယ်။"
"M1","Which is a common characteristic of adult learners?","They have established learning habits and life experience.","They have a short attention span like children.","They only want to learn through games.","အသက်အရွယ်အလိုက် သင်ယူသူတွေရဲ့ လိုအပ်ချက်ကွာပါတယ်။ ကလေးတွေက ကစားရင်းသင်ရတာကြိုက်ပြီး၊ လူကြီးတွေက အတွေ့အကြုံနဲ့ နှိုင်းယှဉ်စဉ်းစားတတ်ကြပါတယ်။"
"M1","Teenage learners are often highly motivated by:","Peer approval and their own identity.","Singing nursery rhymes.","Doing exactly what the teacher says without question.","အသက်အရွယ်အလိုက် သင်ယူသူတွေရဲ့ လိုအပ်ချက်ကွာပါတယ်။ ကလေးတွေက ကစားရင်းသင်ရတာကြိုက်ပြီး၊ လူကြီးတွေက အတွေ့အကြုံနဲ့ နှိုင်းယှဉ်စဉ်းစားတတ်ကြပါတယ်။"
"M1","Learning English to communicate with clients overseas is a:","Professional need","Academic need","Personal need","သင်ယူသူတွေ အင်္ဂလိပ်စာသင်ရတဲ့ အကြောင်းရင်းတွေဖြစ်တဲ့ အလုပ်အကိုင် (Professional)၊ ပညာရေး (Academic) နဲ့ ကိုယ်ရေးကိုယ်တာ (Personal) လိုအပ်ချက်တွေကို သတိပြုပါ။"
"M1","A student studying IELTS to enter a university has an:","Academic need","Professional need","Personal need","သင်ယူသူတွေ အင်္ဂလိပ်စာသင်ရတဲ့ အကြောင်းရင်းတွေဖြစ်တဲ့ အလုပ်အကိုင် (Professional)၊ ပညာရေး (Academic) နဲ့ ကိုယ်ရေးကိုယ်တာ (Personal) လိုအပ်ချက်တွေကို သတိပြုပါ။"
"M1","Learning English to travel and watch movies without subtitles is a:","Personal need","Academic need","Professional need","သင်ယူသူတွေ အင်္ဂလိပ်စာသင်ရတဲ့ အကြောင်းရင်းတွေဖြစ်တဲ့ အလုပ်အကိုင် (Professional)၊ ပညာရေး (Academic) နဲ့ ကိုယ်ရေးကိုယ်တာ (Personal) လိုအပ်ချက်တွေကို သတိပြုပါ။"
"M1","A student knows the past tense rule but accidentally says 'I go yesterday' because they are tired. This is a:","Slip","Error","Interference","သိပေမယ့် မတော်တဆမှားတာ (Slip) နဲ့ တကယ်မသိလို့မှားတာ (Error) ကို ခွဲခြားပါ။ Slip ဆိုရင် ကျောင်းသားကို သူ့ဟာသူ ပြန်ပြင်ခိုင်း (self-correct) လို့ရပါတယ်။"
